k b f g
1 20 20 1
2 30 35 1.1
3 40 50 1.2
4 70 120 1.7
5 120 225 2.5
6 200 400 3.2

n x y q
0 10 1 0 
1 58 47 28 
2 46 87 3 
3 99 96 13 
4 78 16 7 
5 50 67 11 
6 52 61 3 
7 97 8 7 
8 60 61 22 
9 26 10 22 
10 60 37 13 
11 3 22 10 
12 8 29 31 
13 68 88 23 
14 56 4 11 
15 40 34 14 
16 16 66 16 
17 63 13 27 
18 14 50 17 
19 18 69 19 
20 65 29 18 
21 68 27 32 
22 17 3 21 
23 91 94 29 
24 28 78 25 
25 58 37 14 
26 30 96 16 
27 26 44 14 
28 74 2 13 
29 38 59 17 
30 48 39 26 
31 58 40 9 
32 71 15 18 
33 58 30 16 
34 89 84 7 
35 9 91 9 
36 33 91 15 
37 32 51 7 
38 78 19 18 
39 26 39 23 
40 23 99 5 
41 37 1 26 
42 94 24 11 
43 91 15 15 
44 75 26 28 
45 0 14 24 
46 77 51 19 
47 24 30 19 
48 94 41 11 
49 34 94 11 
50 59 55 21 
51 27 61 15 
52 53 17 3 
53 77 8 17 
54 30 43 21 
55 65 96 9 
56 10 95 13 
57 4 92 19 
58 45 81 21 
59 8 55 7 
60 30 80 19 
61 100 94 17 
62 48 13 24 
63 76 28 11 
64 63 69 12 
65 85 17 18 
66 4 18 11 
67 83 28 8 
68 53 98 27 
69 53 86 1 
70 35 52 17 
71 43 15 1 
72 35 39 13 
73 51 66 23 
74 13 33 12 
75 12 16 16 
76 6 68 11 
77 59 99 12 
78 79 71 21 
79 39 9 14 
80 9 29 21 
81 46 0 26 
82 4 84 11 
83 33 82 24 
84 78 20 18 
85 88 78 18 
86 1 39 26 
87 27 93 18 
88 1 17 22 
89 50 60 20 
90 0 80 4 
91 25 9 7 
92 17 7 13 
93 86 5 4 
94 87 95 18 
95 71 25 11 
96 7 58 25 
97 41 8 25 
98 26 75 13 
99 16 72 8 
100 100 43 6 
101 35 26 31 
102 80 40 16 
103 12 77 2 
104 43 3 31 
105 66 37 22 
106 58 89 3 
107 29 15 16 
108 95 12 5 
109 27 99 24 
110 6 0 6 
111 44 5 8 
112 34 3 9 
113 61 34 18 
114 48 23 31 
115 80 7 41 
116 7 75 15 
117 94 98 28 
118 25 24 7 
119 79 43 24 
120 83 84 8 
121 59 15 7 
122 76 67 21 
123 17 29 14 
124 15 77 23 
125 71 21 3 
126 35 29 1 
127 31 93 1 
128 61 79 19 
129 90 67 26 
130 3 84 17 
131 47 84 10 
132 14 64 28 
133 34 98 3 
134 87 4 9 
135 54 3 16 
136 51 52 11 
137 30 0 14 
138 54 41 12 
139 61 1 27 
140 26 14 33 
141 38 97 20 
142 61 47 8 
143 6 47 20 
144 31 18 20 
145 85 13 24 
146 52 82 10 
147 33 89 8 
148 58 77 21 
149 99 7 18 
150 17 92 15 
151 44 71 10 
152 17 19 32 
153 4 41 4 
154 91 88 13 
155 3 78 19 
156 83 1 18 
157 76 29 18 
158 92 57 24 
159 38 51 3 
160 21 72 15 
161 53 9 29 
162 15 84 7 
163 14 28 11 
164 94 95 19 
165 1 72 25 
166 98 55 6 
167 23 89 6 
168 91 49 9 
169 17 68 9 
170 96 5 7 
171 66 20 14 
172 76 56 12 
173 36 0 24 
174 45 3 15 
175 75 15 4 
176 60 12 11 
177 42 61 26 
178 40 86 2 
179 15 83 36 
180 70 51 10 
181 15 32 4 
182 3 58 8 
183 64 73 23 
184 17 41 28 
185 98 0 15 
186 69 52 14 
187 46 57 4 
188 93 62 16 
189 2 54 17 
190 55 54 15 
191 42 65 17 
192 20 40 21 
193 37 99 1 
194 68 91 8 
195 29 81 14 
196 91 51 10 
197 22 11 27 
198 18 64 17 
199 1 47 22 
200 99 20 27 
