k b f g
1 60 1000 1
2 80 1500 1.1
3 150 3000 1.4

n x y q
0 98 34 0
1 81 61 27 
2 19 6 18 
3 10 51 16 
4 96 82 31 
5 81 82 15 
6 95 4 13 
7 69 2 31 
8 42 16 53 
9 91 86 31 
10 3 62 43 
11 10 14 21 
12 24 71 38 
13 6 27 7 
14 30 79 34 
15 49 90 4 
16 74 97 23 
17 17 15 34 
18 100 3 29 
19 83 26 32 
20 24 14 20 
21 24 32 5 
22 27 46 35 
23 15 51 7 
24 9 96 37 
25 46 59 23 
26 93 92 13 
27 18 33 24 
28 65 68 12 
29 69 9 2 
30 45 39 30 
31 6 56 5 
32 38 34 44 
33 28 34 21 
34 84 92 18 
35 15 67 33 
36 57 11 29 
37 76 79 28 
38 40 88 32 
39 48 13 25 
40 72 68 28 
41 53 12 48 
42 74 95 15 
43 19 35 21 
44 12 54 5 
45 78 18 16 
46 25 44 9 
47 71 50 34 
48 69 73 43 
49 61 54 1 
50 38 3 5 
51 80 93 15 
52 1 57 11 
53 13 33 20 
54 16 51 1 
55 42 62 39 
56 98 69 14 
57 86 71 30 
58 53 19 6 
59 62 7 40 
60 1 56 24 
61 96 94 9 
62 44 12 14 
63 20 50 20 
64 77 58 26 
65 21 19 34 
66 29 25 33 
67 97 6 36 
68 82 47 32 
69 86 31 26 
70 39 66 42 
71 6 21 27 
72 95 48 27 
73 44 46 3 
74 64 78 26 
75 22 61 1 
76 84 31 14 
77 72 95 21 
78 76 38 27 
79 6 11 18 
80 61 97 20 
81 84 8 29 
82 91 22 52 
83 20 73 27 
84 98 91 56 
85 44 9 16 
86 29 6 23 
87 65 40 7 
88 12 5 19 
89 20 54 47 
90 60 40 22 
91 74 4 45 
92 27 49 22 
93 34 67 43 
94 3 50 28 
95 3 63 11 
96 85 91 37 
97 5 66 41 
98 89 24 32 
99 48 89 33 
100 93 24 31 
101 75 52 35 
102 45 73 31 
103 33 0 9 
104 18 50 15 
105 52 90 20 
106 27 63 44 
107 88 87 36 
108 5 73 46 
109 75 19 21 
110 55 26 17 
111 15 17 30 
112 71 40 51 
113 18 18 15 
114 95 59 17 
115 38 25 38 
116 50 96 24 
117 6 4 4 
118 64 59 22 
119 5 50 23 
120 78 41 53 
121 72 13 29 
122 13 29 30 
123 78 85 21 
124 67 49 25 
125 33 43 7 
126 6 42 10 
127 86 55 16 
128 2 46 31 
129 50 70 26 
130 8 91 38 
131 8 7 2 
132 28 18 35 
133 40 38 13 
134 53 95 36 
135 97 97 20 
136 90 86 23 
137 40 79 18 
138 21 44 35 
139 94 58 25 
140 99 55 16 
141 44 65 26 
142 42 73 18 
143 21 63 30 
144 73 42 16 
145 82 40 9 
146 96 34 35 
147 9 70 26 
148 11 84 15 
149 37 56 19 
150 41 11 23 
151 70 94 28 
152 88 89 29 
153 77 87 29 
154 46 60 14 
155 20 40 20 
156 99 87 23 
157 2 87 9 
158 37 62 3 
159 96 7 11 
160 15 97 41 
161 53 26 41 
162 80 78 28 
163 5 18 25 
164 57 16 8 
165 1 18 8 
166 71 53 20 
167 57 71 27 
168 94 59 13 
169 67 38 5 
170 14 11 37 
171 64 47 7 
172 42 82 34 
173 4 88 10 
174 61 31 13 
175 35 98 17 
176 54 22 24 
177 14 82 14 
178 61 26 36 
179 36 75 32 
180 23 43 36 
181 62 58 24 
182 36 24 41 
183 7 58 26 
184 59 40 16 
185 99 60 34 
186 3 25 35 
187 79 59 5 
188 10 8 13 
189 75 38 58 
190 74 58 7 
191 35 63 51 
192 21 6 27 
193 34 13 17 
194 66 13 18 
195 83 55 23 
196 75 0 10 
197 62 10 31 
198 91 11 20 
199 51 75 37 
200 38 31 9 
