k b f g
1 60 1000 1
2 80 1500 1.1
3 150 3000 1.4

n x y q
0 50 75 0 
1 36 13 31 
2 68 97 27 
3 59 72 58 
4 97 61 53 
5 42 22 43 
6 52 7 41 
7 64 93 33 
8 67 69 61 
9 72 57 38 
10 24 68 28 
11 64 78 41 
12 77 5 26 
13 89 96 47 
14 62 55 22 
15 48 36 33 
16 98 62 39 
17 37 22 47 
18 16 39 24 
19 68 43 25 
20 35 7 34 
21 86 12 41 
22 74 31 25 
23 18 25 33 
24 76 13 29 
25 60 34 29 
26 52 44 42 
27 97 56 39 
28 53 60 27 
29 56 26 29 
30 53 95 25 
31 87 46 8 
32 94 94 39 
33 68 0 36 
34 98 95 46 
35 99 33 48 
36 77 65 31 
37 18 12 30 
38 96 53 31 
39 41 83 36 
40 61 1 28 
41 44 91 47 
42 67 78 37 
43 40 10 27 
44 93 44 44 
45 40 6 27 
46 84 53 31 
47 12 73 28 
48 31 58 20 
49 51 24 27 
50 9 81 26 
51 30 92 41 
52 85 63 49 
53 90 16 46 
54 10 82 30 
55 63 57 27 
56 17 9 48 
57 51 44 41 
58 47 77 44 
59 18 0 29 
60 38 63 49 
61 92 40 40 
62 42 72 45 
63 67 11 46 
64 4 47 31 
65 94 88 29 
66 80 84 41 
67 98 83 52 
68 72 1 59 
69 74 22 29 
70 67 67 24 
71 15 87 39 
72 82 70 32 
73 31 36 44 
74 77 33 56 
75 76 85 17 
76 43 6 39 
77 3 67 35 
78 10 48 28 
79 88 20 22 
80 33 68 34 
81 23 42 40 
82 83 53 47 
83 16 59 35 
84 75 90 26 
85 91 47 49 
86 5 46 31 
87 25 29 46 
88 31 4 30 
89 76 7 34 
90 8 72 44 
91 43 72 53 
92 83 84 24 
93 3 54 28 
94 52 85 18 
95 16 75 32 
96 74 96 38 
97 92 21 35 
98 33 25 24 
99 31 88 26 
100 80 97 36 
101 89 63 26 
102 38 62 42 
103 20 69 31 
104 46 65 25 
105 78 91 25 
106 25 92 28 
107 43 9 17 
108 57 1 45 
109 14 2 33 
110 33 35 32 
111 22 90 31 
112 38 73 34 
113 71 2 31 
114 52 11 23 
115 29 62 37 
116 27 19 34 
117 67 49 31 
118 73 31 37 
119 51 97 16 
120 97 18 38 
121 17 5 26 
122 58 44 44 
123 53 97 30 
124 82 16 35 
125 74 80 33 
126 12 88 47 
127 95 15 36 
128 72 87 30 
129 80 29 47 
130 52 70 37 
131 19 3 47 
132 60 15 32 
133 27 43 39 
134 4 53 27 
135 42 47 20 
136 60 21 39 
137 31 94 44 
138 34 95 28 
139 12 78 31 
140 53 11 39 
141 100 94 48 
142 34 21 33 
143 50 62 39 
144 66 45 52 
145 20 38 49 
146 97 46 51 
147 89 97 29 
148 91 86 40 
149 76 44 51 
150 25 17 39 
151 41 36 24 
152 87 99 46 
153 92 41 45 
154 75 11 19 
155 29 19 40 
156 53 86 35 
157 39 49 14 
158 40 84 36 
159 84 13 57 
160 28 26 51 
161 40 60 41 
162 19 11 47 
163 64 52 40 
164 87 83 54 
165 71 99 31 
166 95 27 41 
167 60 8 37 
168 77 50 29 
169 56 7 40 
170 30 100 26 
171 83 8 27 
172 71 31 40 
173 12 0 27 
174 81 38 24 
175 38 66 20 
176 86 90 25 
177 30 81 31 
178 28 45 39 
179 22 1 30 
180 26 11 37 
181 92 54 35 
182 77 42 37 
183 19 44 37 
184 22 35 37 
185 93 90 42 
186 16 27 38 
187 90 72 41 
188 35 31 34 
189 9 78 37 
190 11 7 20 
191 68 65 55 
192 22 17 60 
193 77 77 37 
194 94 18 41 
195 55 98 37 
196 87 66 42 
197 93 38 52 
198 24 13 23 
199 48 16 34 
200 12 44 41 
201 96 22 35 
202 4 19 19 
203 39 37 37 
204 75 34 41 
205 43 13 36 
206 61 68 46 
207 21 3 30 
208 37 38 7 
209 14 52 34 
210 89 16 50 
211 41 74 52 
212 83 37 4 
213 91 44 37 
214 47 27 19 
215 70 96 28 
216 40 50 28 
217 27 32 40 
218 52 67 35 
219 76 54 37 
220 38 13 21 
221 23 87 29 
222 62 65 14 
223 52 58 50 
224 66 88 16 
225 67 35 40 
226 77 32 48 
227 66 93 31 
228 36 81 37 
229 46 44 27 
230 44 35 30 
231 47 65 28 
232 97 75 50 
233 35 92 31 
234 5 30 46 
235 33 23 33 
236 90 95 38 
237 49 6 39 
238 58 57 21 
239 34 0 39 
240 98 53 41 
241 36 33 44 
242 76 99 42 
243 28 4 28 
244 0 57 13 
245 17 55 49 
246 1 89 34 
247 56 22 37 
248 49 64 34 
249 8 89 45 
250 92 77 25 
251 13 95 45 
252 58 54 22 
253 34 99 38 
254 17 66 26 
255 33 7 36 
256 92 37 43 
257 82 4 43 
258 91 98 33 
259 81 25 20 
260 3 86 32 
261 5 2 41 
262 90 27 40 
263 83 58 15 
264 88 76 46 
265 100 84 29 
266 82 95 35 
267 37 25 36 
268 33 45 19 
269 84 84 27 
270 68 44 37 
271 3 14 15 
272 14 25 19 
273 21 96 42 
274 62 79 24 
275 51 58 23 
276 52 90 27 
277 32 65 29 
278 8 80 47 
279 17 52 39 
280 31 38 29 
281 96 25 32 
282 87 10 33 
283 4 4 32 
284 74 95 39 
285 0 13 32 
286 34 19 23 
287 89 30 26 
288 87 45 21 
289 9 36 33 
290 68 93 39 
291 8 33 25 
292 1 76 19 
293 75 20 46 
294 54 8 47 
295 35 98 24 
296 73 96 29 
297 38 46 24 
298 83 47 41 
299 8 15 37 
300 23 84 39 
301 100 87 15 
302 100 2 60 
303 90 8 30 
304 56 31 42 
305 80 0 52 
306 71 79 37 
307 54 25 24 
308 54 51 32 
309 18 94 51 
310 61 35 48 
311 71 61 57 
312 21 70 36 
313 27 85 43 
314 76 28 28 
315 55 30 45 
316 9 64 21 
317 48 56 34 
318 26 64 40 
319 46 69 37 
320 26 26 50 
321 14 13 37 
322 15 46 36 
323 2 13 29 
324 0 74 57 
325 82 30 40 
326 38 48 40 
327 78 98 50 
328 27 20 46 
329 64 10 38 
330 39 58 40 
331 19 28 32 
332 34 56 30 
333 93 58 57 
334 36 62 33 
335 49 69 42 
336 88 41 47 
337 14 51 24 
338 94 6 37 
339 12 9 39 
340 11 58 38 
341 96 43 64 
342 49 82 49 
343 16 6 37 
344 70 5 37 
345 68 79 26 
346 28 88 44 
347 32 37 29 
348 87 51 34 
349 47 100 34 
350 8 54 42 
351 67 9 32 
352 1 34 23 
353 1 67 38 
354 9 32 33 
355 95 94 45 
356 48 42 32 
357 58 37 43 
358 76 71 37 
359 20 43 53 
360 72 16 33 
361 80 36 32 
362 76 42 17 
363 39 89 27 
364 65 35 31 
365 17 87 31 
366 34 57 26 
367 10 53 35 
368 2 96 33 
369 70 83 39 
370 57 65 36 
371 86 8 42 
372 70 31 29 
373 3 58 46 
374 19 73 34 
375 2 61 33 
376 23 1 36 
377 36 92 42 
378 81 7 51 
379 22 4 34 
380 14 90 31 
381 97 88 10 
382 70 90 37 
383 93 22 33 
384 21 82 33 
385 86 72 25 
386 58 75 41 
387 71 64 28 
388 19 66 41 
389 92 78 36 
390 45 57 36 
391 60 30 26 
392 85 0 54 
393 49 98 19 
394 75 81 33 
395 58 58 37 
396 1 95 54 
397 86 46 29 
398 0 51 41 
399 86 54 46 
400 89 95 45 
401 31 39 43 
402 21 9 47 
403 42 42 53 
404 70 29 31 
405 42 15 56 
406 94 41 45 
407 46 94 28 
408 38 72 25 
409 38 5 27 
410 56 94 32 
411 92 89 33 
412 48 58 31 
413 55 97 55 
414 59 70 27 
415 8 46 39 
416 76 79 34 
417 77 61 33 
418 49 12 39 
419 80 66 29 
420 42 62 48 
421 23 40 56 
422 37 32 35 
423 6 93 40 
424 57 0 31 
425 55 22 33 
426 87 100 46 
427 16 23 36 
428 29 48 43 
429 7 69 45 
430 69 30 50 
431 49 14 34 
432 62 1 35 
433 63 11 44 
434 57 24 30 
435 79 4 33 
436 18 39 24 
437 7 72 38 
438 100 85 27 
439 56 48 30 
440 47 38 33 
441 53 35 41 
442 4 51 50 
443 28 32 36 
444 89 0 29 
445 95 23 6 
446 51 16 43 
447 91 16 36 
448 4 34 46 
449 70 89 38 
450 94 37 25 
451 33 84 34 
452 60 36 21 
453 33 78 20 
454 45 98 28 
455 31 96 33 
456 85 64 28 
457 70 88 31 
458 76 93 27 
459 45 68 36 
460 16 65 36 
461 20 61 48 
462 63 72 29 
463 38 89 42 
464 76 47 39 
465 55 27 26 
466 62 47 33 
467 23 37 32 
468 99 43 41 
469 93 7 29 
470 80 78 39 
471 26 16 32 
472 35 39 43 
473 9 40 30 
474 57 83 27 
475 22 10 32 
476 94 98 23 
477 27 47 18 
478 22 15 38 
479 12 3 52 
480 87 13 30 
481 100 95 33 
482 0 76 43 
483 86 61 41 
484 38 34 34 
485 12 22 38 
486 42 90 29 
487 83 66 36 
488 100 98 24 
489 24 75 49 
490 26 3 50 
491 81 50 31 
492 99 15 35 
493 74 61 28 
494 23 41 28 
495 60 32 39 
496 84 70 34 
497 17 23 43 
498 81 40 48 
499 86 13 31 
500 50 38 51 
